"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"106","114 Taylor St","0.13","$143,500.00 ","Dwelling","$117,900.00 ","23 9 7",5,147000,144000,127700,123000,235000,1736,4,2
"109","116 Lee Ave","0.16","$807,100.00 ","Dwelling","$275,000.00 ","23 1 36",6,505700,372800,739000,722300,977000,4343,5,4
"110","116 Moore St","0.16","$100,800.00 ","Dwelling","$82,000.00 ","23 1 245",5,122200,115100,114700,123300,195300,1408,3,2
"113","117 Colonnade Ave","N/A","$228,900.00 ","Dwelling","$297,900.00 ","15 1 1 63",6,225200,224300,304300,328600,369700,2052,3,2
"114","117 N Randolph St","0.58","$196,100.00 ","Dwelling","$210,000.00 ","17 1 148",5,204500,173800,192900,208900,232300,2956,4,2
"116","118 Welsh Park","0.27","$148,000.00 ","Dwelling","$146,600.00 ","34 2 5B",3,127000,134400,150100,162100,226400,1032,3,2
"117","12 Chamberlain Loop","0.104","$287,600.00 ","Twnhse/condo","$269,000.00 ","39 1 1 38",3,306900,291300,285300,337700,383500,2537,4,3
"118","12 Edmondson Ave","0.23","$337,300.00 ","Dwelling","$480,000.00 ","28 25 C",3,334700,414700,407900,384700,561500,1846,3,3
"119","12 Hook Ln","0.2","$137,500.00 ","Dwelling","$155,000.00 ","18 1 14",2,127900,128100,150900,162900,174400,1444,3,2
"120","12 Link Rd","0.31","$205,400.00 ","Dwelling","$201,500.00 ","40 4 2 5",3,232000,226000,206800,223300,298700,1809,3,2.5
"121","12 Massie St","0.025","$105,100.00 ","Dwelling","$135,000.00 ","17 1 59",2,130100,119500,118800,129600,179200,1188,3,2
"122","12 Sixty West Dr","0.13","$400,900.00 ","Dwelling","$400,000.00 ","8 1 1 12",6,418400,409400,441600,443200,534000,3291,4,4
"124","120 Houston St","0.48","$129,200.00 ","Dwelling","$120,000.00 ","29 1 39",5,192600,193800,208200,131800,132700,1708,4,1
"125","121 Chavis Ave","0.19","$227,100.00 ","Dwelling","$231,500.00 ","15 1 1 52",6,223400,232700,236600,255500,320700,1302,3,2
"127","122 S Jefferson St","0.07","$142,300.00 ","Dwelling","$85,000.00 ","23 1 115",6,222700,108500,254600,230300,247300,1624,4,2.5
"213","126 Houston St","0.21","$124,900.00 ","Dwelling","$100,000.00 ","29 11 4",5,125700,128300,144800,152700,204800,1062,2,2
"214","128 Welsh Park","0.37","$135,800.00 ","Dwelling","$126,000.00 ","34 2 10",3,187100,209100,132300,152800,240500,2012,4,2.5
"215","129 Chavis Ave","0.193","$218,600.00 ","Dwelling","$190,000.00 ","15 1 1 53A",6,223400,227400,203400,254800,298400,1500,2,2
